Participant_ID,Gender,Fixation Index_mean,Fixation Index by Stimulus_mean,Fixation X_mean,Fixation Y_mean,Fixation Start_mean,Fixation End_mean,Fixation Duration_mean,Fixation Dispersion_mean
14,Unknown,2.4761904761904763,2.4761904761904763,615.2020316590442,468.17080204561574,566127.5575166667,566246.2165357143,118.65901904761326,0.29554230893200056
15,Unknown,1356.4181228305429,1355.4181228305429,871.0887672292318,579.0043549830746,418493.3122483187,418792.4290245797,299.11677626104364,0.17338210879625282
16,Unknown,1698.3191775876473,1697.3191775876473,959.5380008328773,609.6139834672987,502699.8252581738,502970.0150078472,270.18974967332366,0.18075893433562754
17,Unknown,2021.6202855731724,2020.6202855731724,871.6606828637869,595.2292535883001,603367.0973683919,603639.6131544737,272.5157860816137,0.24181412172099087
18,Unknown,9.5,9.5,1384.7926434242402,534.280005841881,424196.386975,424275.34331250004,78.95633750003613,0.14437336029017306
19,Unknown,2071.4549507890697,2071.4549507890697,904.7445453028814,514.0751515452798,691653.2361674904,691987.8773311194,334.6411636290798,0.22144919189456677
20,Unknown,1079.1817947837665,1077.1817947837665,945.0255180527761,528.3188034912959,360064.70653479267,360348.2267874416,283.52025264887305,0.22812625092922334
21,Unknown,2241.4866905773642,2241.4866905773642,934.7017767193458,506.7861211195877,838075.0452282868,838280.1196269245,205.074398638037,0.3098131228065928
22,Unknown,2123.6430502616,2123.6430502616,914.3732397467904,525.3631370957899,635330.1555645792,635631.3977262038,301.24216162472607,0.26000819776458506
23,Unknown,1621.5859704330874,1619.5859704330874,913.0805351504437,478.53300421874286,749696.7992098237,749989.3678389529,292.5686291290818,0.23354453025382196
24,Unknown,2195.7006654973893,2194.7006654973893,938.6089358096939,514.4551191607197,798473.5193212745,798844.5664113412,371.04709006698783,0.27047613084832295
25,Unknown,1771.344999478324,1769.344999478324,902.5602398416958,543.617603533799,600290.9056583905,600619.8291499865,328.9234915960963,0.19039877167768587
26,Unknown,1722.3435687343904,1721.3435687343904,782.6099758337758,506.23573793775284,623985.7040246187,624229.2938449424,243.58982032355902,0.30940261021909493
27,Unknown,1949.9011440592142,1948.9011440592142,845.9360187943855,530.0267400835613,687116.1505239534,687477.7260032551,361.57547930185217,0.20045330347820722
28,Unknown,699.7726819789139,699.7726819789139,827.1410921502687,477.364424125416,830767.3239198646,830956.3692950236,189.0453751590614,0.3271129666012998
29,Unknown,2113.906324708475,2113.906324708475,906.5694700056598,536.6453649123993,798645.0525921729,798935.479278711,290.4266865382038,0.24351316204648127
30,Unknown,1573.1659213388377,1572.1659213388377,939.3307043995444,533.2365621843081,510861.6985888741,511184.60558458674,322.9069957126022,0.18734218059122237
31,Unknown,2261.5012722496463,2260.5012722496463,957.937729854997,523.2483328021476,697535.2188528668,697794.7722821969,259.5534293300167,0.20600222971162857
32,Unknown,1949.8932048891972,1949.8932048891972,879.3264527327078,534.6952342204431,739943.617922776,740239.4349957055,295.8170729294238,0.26458563396775886
33,Unknown,2349.5390845067964,2349.5390845067964,951.2397737477488,539.1530219907801,695434.8673156567,695719.7204013778,284.8530857210753,0.21387316691859828
34,Unknown,,,,,,,,
35,Unknown,2014.72297946564,2012.72297946564,944.0286433189736,567.489764052424,606341.5384409366,606586.889074829,245.35063389246176,0.1958905648280528
36,Unknown,2312.029344077637,2305.029344077637,915.8916574569774,534.8664383950659,751788.1713221553,752119.6159675021,331.44464534692264,0.17914092040189233
37,Unknown,3.5217391304347827,3.5217391304347827,1330.6548120640182,1034.8693756721339,951328.631321739,951424.7630543478,96.1317326087484,0.16465046564935717
38,Unknown,1558.9653142855127,1557.9653142855127,929.9789060005951,566.4731575311331,518439.83339703106,518793.5101265315,353.6767295002826,0.23806879399520559
